gan_type,train_size,epochs,building_type,avg_r2,median_r2,25th_percent_r2,75th_percent_r2,iqr_r2
og_gan,100,50,building_type_7,0.9474293958235718,0.914654149285459,0.8501519201783064,0.9544111798590471,-0.7562857469429827
og_gan,100,50,building_type_12,0.9649060849051114,0.9366146100912613,0.8536253106643401,0.9605136678986117,-5.2197016637637415
og_gan,100,50,building_type_14,0.9430028031005733,0.9479700138478042,0.8666792926946801,0.8529952359443144,-0.7373765408939552
og_gan,100,50,building_type_15,0.9518183096828454,0.9601958827344879,0.8802770935824455,0.9271805256818625,0.05690973089904561
og_gan,100,50,building_type_all,0.948826002931127,0.9622462899604233,0.8755458786551188,0.8363489628938044,0.8663170016022865
og_gan,100,100,building_type_7,0.9093928164386634,0.9144437345451586,0.8570085311621569,0.9140018653954819,-0.3447607332438838
og_gan,100,100,building_type_12,0.9707879781843393,0.9600375004545534,0.9328063063707243,0.9753123652524873,-0.44363075500324456
og_gan,100,100,building_type_14,0.9136163929644072,0.8821281872794048,0.7558128298407769,0.9236957358853979,0.12488228813415991
og_gan,100,100,building_type_15,0.955822599707813,0.9352022651515302,0.8621430877315274,0.9536206119703904,0.4119796927805469
og_gan,100,100,building_type_all,0.9559750257364824,0.9612020926440695,0.9278767713099664,0.8123497639280154,0.8457694322696985
og_gan,100,150,building_type_7,0.9881566719663947,0.9874204480134646,0.9611153215041475,0.9866252762045116,0.2272093515229322
og_gan,100,150,building_type_12,0.9944060196719702,0.9942173024847745,0.9826740815272249,0.9888221583514368,-0.19232683969100162
og_gan,100,150,building_type_14,0.9852266986639505,0.9807880023383396,0.9644146933682115,0.9800218133651822,0.8075809020594445
og_gan,100,150,building_type_15,0.9589471612570882,0.9645476103204083,0.9507397844615487,0.929146779042735,0.5160846363757984
og_gan,100,150,building_type_all,0.9774216056271432,0.991231347908735,0.986299726447069,0.9721803660361165,0.974683184432367
og_gan,100,200,building_type_7,0.9931689126426557,0.9948622348182904,0.9774458340853003,0.9901845260986889,0.4491823053499263
og_gan,100,200,building_type_12,0.970798356780517,0.9758955950853337,0.9456916139660133,0.9840102237116312,0.30023035410086596
og_gan,100,200,building_type_14,0.9942527669145643,0.9920022379146418,0.9890892865030944,0.9907085481826572,0.9228250002506677
og_gan,100,200,building_type_15,0.9711171060556184,0.975056122525544,0.9511995597124729,0.9715974738348302,0.7751943960563966
og_gan,100,200,building_type_all,0.9846813504399714,0.982744979182929,0.9567362686512674,0.9858605391446313,0.9841012443906103
og_gan,100,250,building_type_7,0.9799574554917999,0.9747416368906505,0.9896776036130408,0.9563337386912729,0.5318283250876178
og_gan,100,250,building_type_12,0.9980923870004298,0.9968581413634362,0.9914382773772586,0.9927506184064646,0.1572623498378104
og_gan,100,250,building_type_14,0.9919453127623635,0.9900751545980424,0.9945651688295828,0.9899516014048236,0.9548353076617706
og_gan,100,250,building_type_15,0.9873214989596131,0.9815258947249257,0.971228909621741,0.9872304742250598,0.9152677592358062
og_gan,100,250,building_type_all,0.9864535141065708,0.9946242006449323,0.9943767912886435,0.9616426977075562,0.96560571008249
og_gan,100,300,building_type_7,0.9815749694718416,0.9799881847940166,0.9574906140627545,0.9919698641188647,0.70222148014335
og_gan,100,300,building_type_12,0.9916389493318204,0.9939974702585899,0.9815021029523819,0.9925916213517492,0.33576210566314724
og_gan,100,300,building_type_14,0.9907355785133578,0.9855728585237551,0.9845398993238985,0.9881592053225334,0.9157135220363568
og_gan,100,300,building_type_15,0.9933138920131984,0.9905298735996078,0.9839205255399843,0.9891651968585042,0.9012490245505221
og_gan,100,300,building_type_all,0.990362501918394,0.9936793510449339,0.9855284513300567,0.9351194755006303,0.9461932668964752
