gan_type,train_size,epochs,building_type,avg_r2,median_r2,25th_percent_r2,75th_percent_r2,iqr_r2
cgan,30,50,building_type_7,-0.00506724319457641,-0.2895460582959377,-1.7893034436916162,-0.8235727752333966,-69.78814876716919
cgan,30,50,building_type_12,-0.11936060154271799,-0.3601193291404725,-1.7871399688647873,-1.2002798437303746,-175.54188293116914
cgan,30,50,building_type_14,0.09819893059674023,-0.14733754522101572,-0.731684234652429,-0.45420629938591595,-11.964084694732334
cgan,30,50,building_type_15,0.24099978153771429,0.0415052541776989,-0.7786209969166249,0.012683958517485494,-8.28790445949835
cgan,30,50,building_type_all,0.27610422334963314,-0.4985849857402278,-1.3942934029815843,0.03886596315757562,0.16181169989098398
cgan,30,100,building_type_7,0.21246640473801692,0.1798949998480398,-0.47076107786997334,0.22700882929754507,-15.196590223598946
cgan,30,100,building_type_12,0.09745594188092976,0.06433148820433077,-0.5489349930200211,-0.020862522309477605,-43.80351816015779
cgan,30,100,building_type_14,0.2838392167857148,0.2735841444522239,0.43377815179843604,-0.09946983670430765,-3.7459841134959424
cgan,30,100,building_type_15,0.5543084809465586,0.532132948438575,0.3158435629565648,0.4588455264544884,-2.1596673594646307
cgan,30,100,building_type_all,0.897437686338482,-0.00187618271816814,-0.31015866648698287,0.17710444222795885,0.030468066267205884
cgan,30,150,building_type_7,0.4135616652530728,0.4438339255165519,0.41259974389063614,0.4054394918740517,-0.6609091510302301
cgan,30,150,building_type_12,0.35432119506526516,0.3907884290671304,0.4089300903900276,0.2950138507740263,-2.1156457676223215
cgan,30,150,building_type_14,0.35106261889422496,0.31585408726460273,0.13857497094043913,0.4435783241941629,0.2078247952113882
cgan,30,150,building_type_15,0.5157770639619028,0.48145352287948284,0.29569926800423185,0.6103919720770146,0.17028054597758346
cgan,30,150,building_type_all,0.31898579871858834,0.30224791403145357,0.3672470938514323,0.0026087068559971227,0.3045497375498364
cgan,30,200,building_type_7,0.8426614033295476,0.8358070862403006,0.8547537503049726,0.7695527078902353,-1.121835303024704
cgan,30,200,building_type_12,0.8846927717135121,0.8743679100976226,0.8791631875690795,0.8574645742676895,-1.2447805662178602
cgan,30,200,building_type_14,0.5974015435856808,0.5949541358171851,0.4979774026661353,0.5854689666652548,-0.24570356396357407
cgan,30,200,building_type_15,0.8944034596865313,0.8785496063258732,0.8065506997563713,0.8505048625392228,-0.10562982221216544
cgan,30,200,building_type_all,0.9288591624394065,0.8797500172646393,0.8863494762482269,0.42470289261812066,0.47870998924179275
cgan,30,250,building_type_7,0.9016197204649261,0.9009869051616815,0.9069408737975582,0.8513558513627417,-0.6354966220361669
cgan,30,250,building_type_12,0.909253938960819,0.9081745694101899,0.9034181797185481,0.8948274658291663,-0.5129543902358604
cgan,30,250,building_type_14,0.6165844960852205,0.6302675385674461,0.5751218683491276,0.5984838864547886,-0.046695164487987384
cgan,30,250,building_type_15,0.8772528023456585,0.8661852838656026,0.7723107440764887,0.8593972091583688,-0.010791980418868308
cgan,30,250,building_type_all,0.9429377739142936,0.9168212517468959,0.9154606320262892,0.4623560485135454,0.511968974737692
cgan,30,300,building_type_7,0.9233308391445462,0.9223325588659449,0.9023544297925872,0.8814343245066303,-1.0756940810918634
cgan,30,300,building_type_12,0.9307701739856755,0.9302182615371956,0.9040209975616122,0.9232893219010433,-1.2487405090634298
cgan,30,300,building_type_14,0.6943938624800605,0.6951913570415527,0.6587625297159578,0.6558415717368022,-0.037793444631238904
cgan,30,300,building_type_15,0.9062097493915408,0.8964756519152492,0.7713707255157154,0.8987545803435806,-0.06212618599247666
cgan,30,300,building_type_all,0.9301388963875821,0.9379692406549532,0.9152725566131144,0.5939574720776586,0.6505524339688289
cgan,30,350,building_type_7,0.9413610029541908,0.9444732866764964,0.9470254488928554,0.8722721955546262,-1.3575923908393426
cgan,30,350,building_type_12,0.9492307478466782,0.9498875909644153,0.9434022741032895,0.9214280648462144,-1.7075124558806878
cgan,30,350,building_type_14,0.7379566340176937,0.7545819422014429,0.8219146183480793,0.6278578850179585,-0.1411703468660006
cgan,30,350,building_type_15,0.8751139080095405,0.869697294719105,0.6539371944942042,0.9255011516069449,-0.0802433577902657
cgan,30,350,building_type_all,0.9454486968221557,0.9384294968681117,0.9445616819619147,0.8603240506042277,0.8758784044495103
cgan,30,400,building_type_7,0.9607521124025121,0.9614181726981079,0.9468074594972063,0.9016169802382767,-1.5175036702068105
cgan,30,400,building_type_12,0.9639574386318893,0.9645067785501031,0.9420569010614344,0.9453778450051806,-1.9001246886646448
cgan,30,400,building_type_14,0.8652186949231041,0.8865002934001494,0.9352945752037033,0.7612926651869992,-0.0807357456422173
cgan,30,400,building_type_15,0.9244903589189835,0.9159299329722779,0.7215792578879513,0.9604472603377817,-0.0637018277425343
cgan,30,400,building_type_all,0.9389861130276902,0.9574451805443833,0.9521110973399336,0.8575564166996508,0.8823672795941602
