gan_type,train_size,epochs,building_type,avg_r2,median_r2,25th_percent_r2,75th_percent_r2,iqr_r2
cgan,100,50,building_type_7,0.9194496281118618,0.924893926959392,0.8772739133340666,0.9123215166432341,-0.533785418926866
cgan,100,50,building_type_12,0.9075742996177558,0.9178819858797211,0.8823765881700314,0.9124292918612865,-0.6182602808178304
cgan,100,50,building_type_14,0.6447035031158872,0.6439398186902314,0.5197713273826461,0.6710549089483477,0.039963625400104674
cgan,100,50,building_type_15,0.8723737299968842,0.8424882151106006,0.8071173783063571,0.8242538234112896,0.09802974446738266
cgan,100,50,building_type_all,0.9485192264974234,0.9138514557884998,0.881571967549943,0.3954817688420671,0.48579345207615166
cgan,100,100,building_type_7,0.9675464530111516,0.9657680598851804,0.897526149499777,0.9450083487065745,-1.6155464418439922
cgan,100,100,building_type_12,0.9655230104113413,0.9642005437706322,0.9091575176993857,0.9692217347643693,-2.0790014880500873
cgan,100,100,building_type_14,0.9026218792018073,0.91485895766266,0.943856565106868,0.8322580024377862,0.23483613086997346
cgan,100,100,building_type_15,0.9527192588530531,0.9449874590526349,0.8489681005181535,0.9438695018767908,0.2004766312733699
cgan,100,100,building_type_all,0.9774513938992443,0.9704266477153644,0.9275500625836751,0.9175007907160362,0.9195200752704697
cgan,100,150,building_type_7,0.9770176401676574,0.9776176843851087,0.9455511420088143,0.9602952796276863,-0.4302999815730124
cgan,100,150,building_type_12,0.9752707202826245,0.9802094541864336,0.9511843810059761,0.97070590109526,-0.8444756337358692
cgan,100,150,building_type_14,0.9452720738819663,0.9427095776182407,0.8712205748369031,0.9463601963314702,0.4213902002663793
cgan,100,150,building_type_15,0.9726176224572665,0.9807991842704403,0.9316588645465742,0.9476222114787723,0.37143346333892624
cgan,100,150,building_type_all,0.9798754053735045,0.9813718614757453,0.9586366366266891,0.8606369819860417,0.8835922088909599
cgan,100,200,building_type_7,0.9621785618690923,0.9625823397727327,0.9627703265005034,0.945307143468376,0.37912663483351516
cgan,100,200,building_type_12,0.970191584983835,0.9677665627198037,0.9662274289343226,0.9645941980507975,0.20007078176708737
cgan,100,200,building_type_14,0.8923169948484841,0.8919264767015949,0.8761943926527629,0.8803017988800489,0.6045120131661288
cgan,100,200,building_type_15,0.9072196680039515,0.869491743395104,0.868157654183018,0.8974551428535715,0.6728925085760766
cgan,100,200,building_type_all,0.9123341277639223,0.9661546016413122,0.9644101914936059,0.8751284879236708,0.8927057442372405
cgan,100,250,building_type_7,0.9874412827950484,0.985918706505515,0.9684399433175771,0.9881970504499218,0.5409443833970213
cgan,100,250,building_type_12,0.9835170790058407,0.9861150450796466,0.9729495514130965,0.9830900850249104,0.40440205085867154
cgan,100,250,building_type_14,0.9414037259978714,0.9326295493640105,0.9265708976735687,0.9309131183997553,0.6669622637912656
cgan,100,250,building_type_15,0.9534816780603691,0.9385474435781144,0.8797450418343723,0.9491553146577753,0.4724275261639306
cgan,100,250,building_type_all,0.9647965582909246,0.9856859279026243,0.9769457888839794,0.8348915408144003,0.8622120257774428
cgan,100,300,building_type_7,0.9707224480716811,0.9706119138671635,0.9446966998507258,0.9834825335945144,0.724210617528203
cgan,100,300,building_type_12,0.9623194960093554,0.9682262086845331,0.9528670069481091,0.9641676899489295,0.5229934522293237
cgan,100,300,building_type_14,0.9475799249005568,0.9377708553600321,0.9046819785490027,0.9532231885498592,0.7180717126070375
cgan,100,300,building_type_15,0.944409199364473,0.9193996769642933,0.8786377623688715,0.9608565691417381,0.7139719632374526
cgan,100,300,building_type_all,0.9299903013128854,0.9658597800889683,0.9573577987926394,0.7599743356177466,0.8088036143287591
cgan,100,350,building_type_7,0.9875395806932575,0.9864969912441464,0.9809897319882398,0.9834779536663271,0.69477928130694
cgan,100,350,building_type_12,0.987206118206407,0.9888800077502649,0.9862256954353842,0.9826654163205587,0.5706809491550793
cgan,100,350,building_type_14,0.9342018502804103,0.9346282818499738,0.9388907360389956,0.9191191496802025,0.7236495747009495
cgan,100,350,building_type_15,0.9446112733389164,0.9268292119198142,0.9001702823446434,0.9491383127853742,0.7330302377629835
cgan,100,350,building_type_all,0.9694712091632928,0.9860023599114406,0.9875854828034734,0.8876315083855578,0.9048057245581037
cgan,100,400,building_type_7,0.973209478152287,0.9745200826815344,0.9908428662438223,0.9486276398255968,0.4863326315169304
cgan,100,400,building_type_12,0.9776493160830342,0.9788527031144084,0.9889999598063619,0.9660829514386241,0.5086305691365187
cgan,100,400,building_type_14,0.9146704721528275,0.9172732092626915,0.9331314654821258,0.8912365032659278,0.6970981137879227
cgan,100,400,building_type_15,0.9409819413612801,0.9413624248487337,0.9422542118661097,0.9294583305831786,0.7822960920672923
cgan,100,400,building_type_all,0.9384485869187498,0.9686468473285827,0.9830498935004057,0.9164150802762929,0.9306782261053108
cgan,100,450,building_type_7,0.9891011393175614,0.9871250884771977,0.9653965154729999,0.9910218813070966,0.45229311351635415
cgan,100,450,building_type_12,0.9866806624799298,0.9879667548339567,0.9740837325797981,0.986015618680088,0.20497399800951743
cgan,100,450,building_type_14,0.947958999395985,0.9396484680655119,0.8991452820131478,0.9555393351088676,0.7048200154440645
cgan,100,450,building_type_15,0.9613675722668938,0.9427653708168793,0.9251237707054386,0.9640385277078156,0.7693897531450715
cgan,100,450,building_type_all,0.9677236411517665,0.985915232229093,0.9780867277899765,0.7678198448343839,0.802377266303055
