gan_type,train_size,epochs,building_type,avg_r2,median_r2,25th_percent_r2,75th_percent_r2,iqr_r2
cgan,30,50,building_type_5,0.7528713439126101,0.8413397800019953,0.5234902490366757,0.44629302966652884,-13.103994269204012
cgan,30,50,building_type_7,-0.4849484806170763,-1.20185754899012,-1.7056215804056043,-0.6099907238956428,-31.20452364292823
cgan,30,50,building_type_9,0.7336222218443869,0.8116075843391758,0.38171455266097376,0.6116417633278411,-5.3254740494724375
cgan,30,50,building_type_12,-0.6670078058506463,-1.4824040004505652,-1.8178324170059663,-0.9424313503886705,-79.48510062514347
cgan,30,50,building_type_14,0.6420540485381436,0.7100811843179682,0.4580007706013649,0.253168771205429,-5.521208555481234
cgan,30,50,building_type_15,0.6387962318447877,0.6079074412284301,0.1946464934644735,0.4781394898791126,-3.842917387313628
cgan,30,50,building_type_all,0.8963626436889556,-1.154427819565095,-1.8502888712204117,0.7972274001929157,0.6864953279820685
cgan,30,100,building_type_5,0.927924468074363,0.9248491846547517,0.9292133396719707,0.8969448699026752,0.09319542052673013
cgan,30,100,building_type_7,0.8362161262118206,0.8407536169442512,0.8559464069288837,0.7930990333556911,-0.1267200168956113
cgan,30,100,building_type_9,0.8235723854716848,0.8068497276815471,0.7784409236209399,0.8020272970910902,0.09769692605733282
cgan,30,100,building_type_12,0.8466867713021476,0.8496598082150512,0.8627929742562515,0.8197924697410808,-0.3526954948341414
cgan,30,100,building_type_14,0.8169738583044238,0.8266394814502018,0.7490974147150289,0.8038251033007567,0.06263835531159545
cgan,30,100,building_type_15,0.6174923840824248,0.5955997491848641,0.4558503750111942,0.6693333172145608,0.1628054064543215
cgan,30,100,building_type_all,0.9256977612732418,0.8251590822155306,0.8486317357209965,0.8793348470905794,0.8970184620226024
cgan,30,150,building_type_5,0.9002835902118861,0.8985915235539644,0.9159366921904333,0.8460227415538868,-0.3275025726060188
cgan,30,150,building_type_7,0.8908753298708831,0.8866873091182396,0.8977917466624538,0.8451593271706741,-0.32751820257864317
cgan,30,150,building_type_9,0.8999963389940365,0.9017212254266946,0.8951936304578004,0.8383709946774002,-0.1267652732241542
cgan,30,150,building_type_12,0.9007400668163899,0.8947334568735219,0.897163006062454,0.8818743588532721,-0.5192404996412687
cgan,30,150,building_type_14,0.8824036095484241,0.8846253763658638,0.8657770744478303,0.8398781465389328,0.2079889715670874
cgan,30,150,building_type_15,0.6671943292764385,0.6634135993420486,0.5148979955519193,0.7112857595118742,0.0506644540376624
cgan,30,150,building_type_all,0.9340613544042617,0.8872511782366697,0.9024740709878024,0.9182434867439824,0.922059804109617
cgan,30,200,building_type_5,0.9538080401930868,0.951972980603008,0.9171667601472878,0.9469339952962869,-0.05948062369527052
cgan,30,200,building_type_7,0.9206174994652717,0.921123661850826,0.9306129364994766,0.8573823917055418,-1.0429326708766458
cgan,30,200,building_type_9,0.8723894887819929,0.8575202759655579,0.8372836707793369,0.8518759702494911,0.23693719319205508
cgan,30,200,building_type_12,0.9375771241948854,0.936249569617045,0.9382244221385255,0.903177871670177,-1.844684312867408
cgan,30,200,building_type_14,0.917788344475251,0.9239811249248338,0.843604975097787,0.932602130440783,0.48102778673450775
cgan,30,200,building_type_15,0.8003680718387794,0.7739377140675123,0.687157654310417,0.8228822906831026,0.4042573240822708
cgan,30,200,building_type_all,0.9612210673378552,0.9112958448553242,0.9437027167315437,0.9114300880745132,0.9201402164288959
cgan,30,250,building_type_5,0.9110467410557027,0.9008030758183352,0.8638952170846169,0.9078474165397308,-0.047429712642635735
cgan,30,250,building_type_7,0.9704666985688633,0.9687818627789252,0.944411240796485,0.9510694675982538,-0.3794134637535138
cgan,30,250,building_type_9,0.8655816201135293,0.8611918437288925,0.8658207216313721,0.829557678351543,0.2827161419922588
cgan,30,250,building_type_12,0.9735354688576027,0.9733179535315453,0.9509125497237642,0.9738000130641061,-0.4207689189516428
cgan,30,250,building_type_14,0.9078824559768305,0.9083069807805686,0.8789203125082081,0.9015555181708439,0.5880322268433562
