gan_type,train_size,epochs,building_type,avg_r2,median_r2,25th_percent_r2,75th_percent_r2,iqr_r2
acgan,30,50,building_type_7,0.670789011647004,0.5940067696808207,0.652223606615755,0.4596861212132941,-5.357547853234028
acgan,30,50,building_type_12,0.6735857248021808,0.6301621822161141,0.6835077026759157,0.36789398351621905,-20.101263171129162
acgan,30,50,building_type_14,0.6831955922075639,0.6340305747983638,0.7021762604684341,0.5145104654724091,-0.9143919719184388
acgan,30,50,building_type_15,0.7007881386723969,0.6557440907681247,0.6476077674032965,0.5835642746933538,-0.6900179647215432
acgan,30,50,building_type_all,0.751143594198541,0.4366814075312564,0.666528087790561,0.6411931386154401,0.6473760193999012
acgan,30,100,building_type_7,0.5928367012601631,0.5620301892117874,0.5463193816706118,0.576261867380149,-0.16483674115829472
acgan,30,100,building_type_12,0.624401965736513,0.5939407492940405,0.6047472473455621,0.5954220487118441,-1.0097164399601404
acgan,30,100,building_type_14,0.7921859749824428,0.7784339841013328,0.6679710354885713,0.8091265176024527,0.23557975951998178
acgan,30,100,building_type_15,0.8209058064657124,0.8039200922084038,0.7314380223876171,0.8106669093289502,0.19622601170547427
acgan,30,100,building_type_all,0.8221541210589964,0.5929327606199685,0.5928777572560437,0.5980713562364923,0.6639330909577703
acgan,30,150,building_type_7,0.8269700986339537,0.8245961874630592,0.7419411366575606,0.8435958745245344,-0.8141480673567079
acgan,30,150,building_type_12,0.7506827222473402,0.7520058219909431,0.7287257332560702,0.7444703072377981,-1.009231938736658
acgan,30,150,building_type_14,0.8442327892200838,0.8209134160304261,0.6613653447052785,0.8643701284481439,0.005632371272872194
acgan,30,150,building_type_15,0.8015777260998602,0.7744252789297512,0.6354970069947176,0.815297751963062,-0.05854448986886274
acgan,30,150,building_type_all,0.8824093659296255,0.7666079381984617,0.7433886392989741,0.4069377151011091,0.49571866938319387
acgan,30,200,building_type_7,0.795287013098593,0.7854374340259909,0.7544056542020169,0.7914012636355793,-0.11914566767728596
acgan,30,200,building_type_12,0.8156469355511324,0.8067688078985111,0.8089150203841693,0.7992707090194742,-0.2824223861953046
acgan,30,200,building_type_14,0.8159256070109522,0.8038154341309043,0.6758544990766693,0.8453214395213416,0.28751561230602884
acgan,30,200,building_type_15,0.8191523304163716,0.7899286134330252,0.7373541538678514,0.7858109881892077,0.067787280132096
acgan,30,200,building_type_all,0.9014218056001845,0.8104559551147326,0.8132890147983662,0.49663500792852133,0.5532341009877508
acgan,30,250,building_type_7,0.7862552320929566,0.7811621200543889,0.7253490051115856,0.7856825623776352,-0.7104365909691648
acgan,30,250,building_type_12,0.794707861990573,0.7917432077907125,0.7816067801325748,0.7826757082528473,-0.8377531250648378
acgan,30,250,building_type_14,0.7186552067278702,0.712818049959288,0.6228056172286365,0.7051491089268633,-0.06874828587620208
acgan,30,250,building_type_15,0.8578482194916338,0.8646400840080608,0.7739354010472506,0.8441876067778258,0.07510723003770692
acgan,30,250,building_type_all,0.9112754535052752,0.7995676407134283,0.7943213022622131,0.4701024502704191,0.5565377705202588
acgan,30,300,building_type_7,0.8648430333453478,0.8653857311940509,0.8139582360281805,0.8369805906652423,-1.4499970918737026
acgan,30,300,building_type_12,0.8557238725669786,0.8569637226740718,0.8255935059767812,0.8444304489479307,-1.8931226576366367
acgan,30,300,building_type_14,0.7291409256061774,0.7297221794638848,0.6305419104472296,0.7067747402460617,-0.24394464458922394
acgan,30,300,building_type_15,0.7768212351020214,0.780546931868499,0.6666756411835391,0.765047173976201,-0.14432639019433258
acgan,30,300,building_type_all,0.9047451992152326,0.8514220217627869,0.8337429950224923,0.3748006559195869,0.5018203327467703
acgan,30,350,building_type_7,0.8946427247839364,0.8919944320812688,0.849591207760885,0.8603053728061706,-1.4659320312322568
acgan,30,350,building_type_12,0.89905443839783,0.8985488163681243,0.8554913862364018,0.8967238021400282,-1.8802820034260876
acgan,30,350,building_type_14,0.8305731751811433,0.8209396538150672,0.6597789594368593,0.8370909980388234,-0.2029670128774652
acgan,30,350,building_type_15,0.8933697760440787,0.883418417674898,0.8150734940140921,0.8478741562141168,-0.0751529889965814
acgan,30,350,building_type_all,0.9611993756958402,0.899524319592378,0.8621827978505769,0.36039946563203507,0.447992982147263
acgan,30,400,building_type_7,0.8702850521880019,0.8707921562890801,0.821190607294732,0.8360006309728714,-1.6113392716508979
acgan,30,400,building_type_12,0.8320519376709136,0.8346892912378759,0.7685320158640143,0.8437864159417331,-2.095214703699156
acgan,30,400,building_type_14,0.8376290516671412,0.8609726394157005,0.838248793694468,0.7628219345523534,-0.2652112246171576
acgan,30,400,building_type_15,0.7936867528762134,0.8024097652392707,0.7807901089229876,0.7271462864015916,-0.06587031181549508
