gan_type,train_size,epochs,building_type,avg_r2,median_r2,25th_percent_r2,75th_percent_r2,iqr_r2
cgan,100,50,building_type_7,0.9005581891244895,0.9066407529861689,0.8949590812382915,0.8544812375002386,-0.9471945590196387
cgan,100,50,building_type_12,0.910894988403494,0.9177848007182154,0.903378038136061,0.8990729786179767,-1.0862561306882106
cgan,100,50,building_type_14,0.5382079581151837,0.5477000401595733,0.42315487195851975,0.5689939865130149,-0.04352140879397304
cgan,100,50,building_type_15,0.8619602961564541,0.8363506938452615,0.7770499836553847,0.8192498889248383,-0.015405042138397329
cgan,100,50,building_type_all,0.9316060367111857,0.9078855138624216,0.9049260802372662,0.3173700689004949,0.40527541138518774
cgan,100,100,building_type_7,0.9483899919431878,0.9455628766175778,0.9010643015407317,0.937001243079385,-0.6784531566981573
cgan,100,100,building_type_12,0.9490539358108658,0.9451865388448395,0.9052698535940399,0.9548379643781562,-1.1207654391885007
cgan,100,100,building_type_14,0.9201197030152461,0.9214733149995433,0.9213863048618404,0.8890303724273851,0.5417769846115548
cgan,100,100,building_type_15,0.8933427030877406,0.884267472821282,0.8192193090911593,0.8807739675718265,0.2985058171373953
cgan,100,100,building_type_all,0.9451307104689758,0.9535033205773462,0.9172086389860675,0.907741691193053,0.9126950511002597
cgan,100,150,building_type_7,0.9770439889685578,0.9744470859744918,0.9537713492379053,0.9630367221060134,-0.07955938345839986
cgan,100,150,building_type_12,0.977996146617241,0.9766609935082723,0.9628601631542215,0.9755827628139173,-0.018895781096716746
cgan,100,150,building_type_14,0.9572328139335281,0.9493473398385217,0.8700750429130457,0.9645178394732719,0.46154135860877155
cgan,100,150,building_type_15,0.9720055293475021,0.978934689862891,0.9309025847419258,0.9416193477402729,0.3016325547253772
cgan,100,150,building_type_all,0.9816626165574571,0.9771311924943535,0.9655785969983052,0.879585697379556,0.895357991333049
cgan,100,200,building_type_7,0.975587600785271,0.9728885135553953,0.9716537675656305,0.9543897370166897,0.09267508421583914
cgan,100,200,building_type_12,0.9774185270337749,0.9752736626970651,0.972746800315303,0.9717213305225942,0.23860886936714254
cgan,100,200,building_type_14,0.8834628337999999,0.8865674264705339,0.8913737488360657,0.8487055830670439,0.436640655494394
cgan,100,200,building_type_15,0.9376563342533857,0.9203465261371911,0.8594350362902013,0.9389026045394425,0.4992651168442538
cgan,100,200,building_type_all,0.957616691786375,0.9719723311066014,0.9731620491931499,0.877169006647122,0.8890167341051658
cgan,100,250,building_type_7,0.9811270456495349,0.9781212636379057,0.9826717895828303,0.9628628159612909,0.3524163237099185
cgan,100,250,building_type_12,0.9806854756602189,0.9786555040414125,0.9788851754306552,0.9750545273247401,0.44259048107587584
cgan,100,250,building_type_14,0.9147140909709099,0.9121216940404777,0.879131633862126,0.8944125736036244,0.4374784364503379
cgan,100,250,building_type_15,0.9715029149955846,0.9686963666796046,0.9403817307312987,0.9565732575959953,0.5864700656641157
cgan,100,250,building_type_all,0.9684020748255906,0.9726372155731755,0.97701642765885,0.8931479070569716,0.9043048906375553
cgan,100,300,building_type_7,0.9845153538044739,0.9813853150000853,0.9816285120141185,0.9701494473122717,0.42162332484725373
cgan,100,300,building_type_12,0.9853977794242024,0.9854932610331363,0.9817319207606545,0.9833581984790246,0.6186452688708874
cgan,100,300,building_type_14,0.9555616884937674,0.9498322617664141,0.9009587140129728,0.9564566351541738,0.6184818125714897
cgan,100,300,building_type_15,0.9729646983176203,0.970710566735125,0.9671118373412861,0.9670764869161308,0.8431131090547274
cgan,100,300,building_type_all,0.9766563924215707,0.9831891823216343,0.9833137596831311,0.944859315267854,0.9515624149632931
cgan,100,350,building_type_7,0.9543382141037628,0.9593222978834149,0.9071985858817482,0.9787766380474563,0.46535822114649816
cgan,100,350,building_type_12,0.9367063951723595,0.9501420028677059,0.9095657012815438,0.9562127938623954,0.6496132140095576
cgan,100,350,building_type_14,0.9771604349882698,0.9722340013433721,0.9654095330303675,0.9727261060578128,0.8278847912776099
cgan,100,350,building_type_15,0.9697980176212094,0.9498487609406887,0.9498474242628421,0.9540460860195129,0.7336981304474619
cgan,100,350,building_type_all,0.9591107696861904,0.9544994651763019,0.9222234354537875,0.9428561825731411,0.9583945430857504
cgan,100,400,building_type_7,0.9909313053819807,0.9905346489429305,0.9777486873845123,0.9869310525476929,0.5164812134125787
cgan,100,400,building_type_12,0.9907061213188848,0.9943888854082258,0.9836891252290205,0.9943375367784574,0.784211894139798
cgan,100,400,building_type_14,0.9888424413296756,0.9878260461942329,0.9855949899485376,0.9768972656438822,0.8610698295774488
cgan,100,400,building_type_15,0.9891156156317898,0.9823841666952239,0.9852200587193322,0.9741400242776818,0.8335664718201589
cgan,100,400,building_type_all,0.9914433589492738,0.9952253982905988,0.9870393954048796,0.9752469109915809,0.9801562827214807
cgan,100,450,building_type_7,0.9925991259124728,0.99064114106552,0.9944808067138549,0.979392873295927,0.6060095870420585
cgan,100,450,building_type_12,0.9979147924989386,0.9968461497071965,0.997490196089805,0.9964007984046268,0.8406385717940359
cgan,100,450,building_type_14,0.9927884257085883,0.9898577738512446,0.9917283127577425,0.9927901449693542,0.9643820735382791
cgan,100,450,building_type_15,0.9915981598134347,0.9892808144366749,0.9872505131820568,0.9858621852607438,0.8960035638590131
cgan,100,450,building_type_all,0.9929677625079664,0.9967222833471965,0.9974274458333157,0.9708157015140668,0.9736548184787258
cgan,100,500,building_type_7,0.9943220483154867,0.9917600694804358,0.9945820751361877,0.9860296036210999,0.7099190400643218
cgan,100,500,building_type_12,0.9975077005286661,0.9976015305797352,0.9973212980495206,0.996287430965965,0.8966379683002963
cgan,100,500,building_type_14,0.9928683039899391,0.989436775369074,0.9938700194132568,0.9934571649886037,0.981109335111925
cgan,100,500,building_type_15,0.9945829748024821,0.9923074120138691,0.9914933898180454,0.9942053224166965,0.9540170014390821
cgan,100,500,building_type_all,0.9952945660477028,0.9973186078938262,0.9974377959105843,0.9730551296511899,0.9762091152786683
cgan,100,550,building_type_7,0.9962750551260701,0.9947891971476991,0.9982355448076141,0.9877490239583016,0.7342826665254825
cgan,100,550,building_type_12,0.9972972456599917,0.9969807236237198,0.9981437760807801,0.9954058938554093,0.8983727959906146
cgan,100,550,building_type_14,0.9894949363984676,0.9838882094651147,0.992909161371589,0.987771807591796,0.9716636611460151
cgan,100,550,building_type_15,0.9931278821208135,0.9887530607538906,0.9916910187406214,0.9953154706668598,0.9795068759907725
cgan,100,550,building_type_all,0.9926763332512443,0.996586498252699,0.9978382380644227,0.9852978174091414,0.9869227805521763
cgan,100,600,building_type_7,0.9926931583776064,0.9913881401251092,0.9844700906533687,0.990495568558159,0.714355706193454
cgan,100,600,building_type_12,0.9930946968108613,0.9945871157423741,0.9890184296649517,0.993797596092428,0.8874742633712125
cgan,100,600,building_type_14,0.9956160504699332,0.9878868051555114,0.9965865350306057,0.9948182399407968,0.9795632798254293
cgan,100,600,building_type_15,0.9973689980843078,0.9929194664357913,0.9952969831170618,0.9977126847085148,0.9802818643449995
cgan,100,600,building_type_all,0.997169847307404,0.9946485938596571,0.9905746889693303,0.9926782886303105,0.9937014017129039
cgan,100,650,building_type_7,0.9946591954923723,0.9925959845705407,0.9976435392151702,0.985932685899077,0.742264370902886
cgan,100,650,building_type_12,0.9947051401123311,0.993817345621394,0.9955561807628711,0.9933445724101544,0.9211446614953068
cgan,100,650,building_type_14,0.9873481179344953,0.9784668269074221,0.9900921130988019,0.9864081726339541,0.966351725233554
cgan,100,650,building_type_15,0.9942703301296899,0.9889737852068361,0.9937561904134183,0.9956765036592891,0.98572042688108
cgan,100,650,building_type_all,0.9910110996240512,0.9939012515659119,0.9946193691314222,0.983459332227074,0.9865437930198329
cgan,100,700,building_type_7,0.9945171014066302,0.9931607547875638,0.9875189715391199,0.9941342269814556,0.8089915861440005
cgan,100,700,building_type_12,0.9934051949529233,0.995260963060515,0.9924430024116816,0.9924158849526283,0.9126318652563162
cgan,100,700,building_type_14,0.99604336883419,0.9909521018854708,0.9957535210637682,0.9950168316037646,0.9774730404621426
cgan,100,700,building_type_15,0.996678702327716,0.9907377448186616,0.9948630064219419,0.9972879819189789,0.9838215662395342
cgan,100,700,building_type_all,0.9964752928615357,0.9942835350160731,0.9934722311848605,0.9898163827280372,0.9911953705742109
cgan,100,750,building_type_7,0.9968859950193577,0.9956211500911499,0.9909670724673058,0.9954375864189225,0.8018298339195993
cgan,100,750,building_type_12,0.9966287629272684,0.9974144512114507,0.9957491100684314,0.9959669503202706,0.9338245580739367
cgan,100,750,building_type_14,0.996599304346319,0.992205731629414,0.9961679873356587,0.9952661192163915,0.9779963347631024
cgan,100,750,building_type_15,0.9958420350856859,0.9866226809707229,0.9937568567256927,0.9966638857428531,0.9807580657634775
cgan,100,750,building_type_all,0.9972438354888074,0.9971580944767676,0.9963758347413483,0.9909718449051131,0.9919129189296724
cgan,100,800,building_type_7,0.99886718377234,0.9972078299978999,0.9965778141434568,0.9962125863185995,0.8446946225836667
cgan,100,800,building_type_12,0.9988066465930047,0.9988516857919661,0.9989891622627012,0.997384032564922,0.9167942024846891
cgan,100,800,building_type_14,0.9950381680349664,0.9894173799670636,0.9953623855845596,0.9940174831037863,0.9831749757741367
cgan,100,800,building_type_15,0.9959103966679103,0.9861804588912808,0.9935507846313042,0.9968866628201147,0.9762550564757355
cgan,100,800,building_type_all,0.997725287906614,0.998857557271333,0.9989600868443209,0.9911439461699626,0.9921914570093088
cgan,100,850,building_type_7,0.9961624259503993,0.9957352723928322,0.988977892252033,0.9973957964661745,0.8669607537959002
cgan,100,850,building_type_12,0.996653471780889,0.9981214276484365,0.9968158158165064,0.9945588036783076,0.9145312731932512
cgan,100,850,building_type_14,0.9967255361444576,0.9908909438283701,0.9972072541991066,0.9947595660983595,0.9735832790571591
cgan,100,850,building_type_15,0.997453393041214,0.9910368506045341,0.996437940184053,0.9971073010952798,0.982874592534739
cgan,100,850,building_type_all,0.9981896356249744,0.996995321120199,0.9972521181017848,0.992876098878096,0.9937123680375605
cgan,100,900,building_type_7,0.998682161932014,0.9974518016804444,0.9949057254060478,0.9971292813756361,0.8517313087676472
cgan,100,900,building_type_12,0.9989179466939107,0.9993727758992748,0.9991931139606779,0.9974997864933689,0.9285927763185695
